text,choices,correct_answer,antonym,unrelated,discrimination,difficulty,guessing
FASHION,"{""A"": ""TRADITION"", ""B"": ""STYLE"", ""C"": ""HOBBY""}",B,A,C,1.1392100888703753,0.2022313766664618,0.3019528476834652
CORPORATION,"{""A"": ""STORE"", ""B"": ""INDIVIDUAL"", ""C"": ""COMPANY""}",C,B,A,1.0377947228446958,1.090427475079113,0.30151772840321694
ADVANTAGE,"{""A"": ""BENEFIT"", ""B"": ""RISK"", ""C"": ""LOSS""}",A,B,C,1.040769692749247,0.14650059295432818,0.3019366841058199
INTERRUPT,"{""A"": ""DISTURB"", ""B"": ""DELAY"", ""C"": ""CONTINUE""}",A,C,B,1.0287902232847927,-0.06936196555310442,0.28932940767247034
IMMEDIATELY,"{""A"": ""LATER"", ""B"": ""RIGHT AWAY"", ""C"": ""ALWAYS""}",B,A,C,0.7051609927922395,-0.19428661022606408,0.30527983427883865
PURCHASE,"{""A"": ""RETURN"", ""B"": ""BUY"", ""C"": ""PAUSE""}",B,A,C,1.2030721713864416,0.1607655047958762,0.3093343005550736
SAMPLE,"{""A"": ""WHOLE"", ""B"": ""NAP"", ""C"": ""EXAMPLE""}",C,A,B,1.2873563922907536,-1.3964873224677512,0.3017344613744838
CHEMIST,"{""A"": ""PATIENT"", ""B"": ""FARMER"", ""C"": ""SCIENTIST""}",C,A,B,1.3080904254969734,-0.29138717030703515,0.2810513370705062
PASSION,"{""A"": ""BOREDOM"", ""B"": ""LOVE"", ""C"": ""SUBJECT""}",B,A,C,1.1266555306697201,0.17906404004443033,0.299228140093485
POLICY,"{""A"": ""RULE"", ""B"": ""TOOL"", ""C"": ""CHAOS""}",A,C,B,1.1130514686840427,0.7551330264988731,0.3109797240445795
APPROACH,"{""A"": ""GUESS"", ""B"": ""METHOD"", ""C"": ""STEP""}",B,A,C,1.088963583410062,0.27041263154467626,0.3091227893195073
INSIST,"{""A"": ""BEG"", ""B"": ""QUIT"", ""C"": ""DEMAND""}",C,B,A,1.1542990140640643,0.27908081317382366,0.2975396578624809
POTENTIAL,"{""A"": ""CERTAIN"", ""B"": ""POSSIBLE"", ""C"": ""UNLIKELY""}",B,C,A,1.1874534144422826,0.9618271913460438,0.30734618265745334
FIRM,"{""A"": ""WEAK"", ""B"": ""SOFT"", ""C"": ""STURDY""}",C,A,B,1.17251326381518,1.0107663635514077,0.30585117078039087
INVEST,"{""A"": ""WASTE"", ""B"": ""BORROW"", ""C"": ""FUND""}",C,A,B,1.2707141872469687,1.3470908222274551,0.30219052823931364
BOYCOTT,"{""A"": ""IGNORE"", ""B"": ""PROTEST"", ""C"": ""SUPPORT""}",B,C,A,1.3437874526646831,1.4734574089321582,0.28379473898837404
ACHIEVE,"{""A"": ""LOSE"", ""B"": ""DECIDE"", ""C"": ""ACCOMPLISH""}",C,A,B,1.2507182749622974,0.30951716904090965,0.30626784856683564
LACK,"{""A"": ""ABSENCE"", ""B"": ""SURPLUS"", ""C"": ""LATE""}",A,B,C,1.1705550092959744,0.24077170864279512,0.3061304725104962
ORIGINALLY,"{""A"": ""AT FIRST"", ""B"": ""AT LAST"", ""C"": ""LATER""}",A,B,C,0.8674010615588217,0.30949959320184073,0.30224199669588836
FEE,"{""A"": ""CHARGE"", ""B"": ""REFUND"", ""C"": ""TICKET""}",A,B,C,1.2846301262218551,0.32246209752041616,0.30530364459705517
IMPORT,"{""A"": ""SHIP IN"", ""B"": ""EXPORT"", ""C"": ""PACK""}",A,B,C,1.2843710504549983,0.8524888160294657,0.29898640438633645
CHARACTERISTIC,"{""A"": ""EMOTION"", ""B"": ""FEATURE"", ""C"": ""CONFUSION""}",B,C,A,1.055711129993735,1.2219926648762347,0.3063451757267469
ECONOMIC,"{""A"": ""RISKY"", ""B"": ""EDUCATIONAL"", ""C"": ""COMMERCIAL""}",C,A,E,0.8212630192460281,0.8849090542273301,0.2974675567846311
ASSIST,"{""A"": ""HELP"", ""B"": ""WATCH"", ""C"": ""HINDER""}",A,C,B,1.1927540633631846,0.4000994602061951,0.30320455067100205
SECURE,"{""A"": ""MODERN"", ""B"": ""DANGEROUS"", ""C"": ""SAFE""}",C,B,A,1.1482234771242514,0.3020038762001615,0.30465743265199957
REVEAL,"{""A"": ""HIDE"", ""B"": ""SHOW"", ""C"": ""STEAL""}",B,A,C,1.1693011189379707,0.5822262259383942,0.3061632500169264
MAINTAIN,"{""A"": ""LOSE"", ""B"": ""BREAK"", ""C"": ""KEEP""}",C,A,B,1.1971545451952885,0.7004561416595051,0.3077437566633139
COMMIT,"{""A"": ""PROMISE"", ""B"": ""FORGET"", ""C"": ""RESCUE""}",A,B,C,1.18404939124577,0.7518320251607684,0.3034316108841083
SEIZE,"{""A"": ""RELEASE"", ""B"": ""CATCH"", ""C"": ""DEMAND""}",B,A,C,1.1192171184761919,0.8250837529248078,0.2952934868545173
FLEET,"{""A"": ""SLOW"", ""B"": ""BUSY"", ""C"": ""SPEEDY""}",C,A,B,1.2117671632312805,0.971604917102878,0.2961563919905157
OCCUPATION,"{""A"": ""JOB"", ""B"": ""RETIREMENT"", ""C"": ""VOLUNTEER""}",A,B,C,0.963612027526399,1.0267758632274964,0.29203281029494765
ADVISE,"{""A"": ""IGNORE"", ""B"": ""ARGUE"", ""C"": ""SUGGEST""}",C,A,B,1.191429295999468,0.46739475393577423,0.2999917828888752
BID,"{""A"": ""OFFER"", ""B"": ""CHOOSE"", ""C"": ""REFUSE""}",A,C,B,1.1400984721239953,0.7282235559656327,0.29879481262077406
IMMEDIATE,"{""A"": ""SLOW"", ""B"": ""INSTANT"", ""C"": ""FINAL""}",B,A,C,0.940212375884062,0.43910270258839545,0.29846079986936286
