text,choices,correct_answer,discrimination,difficulty,guessing
APPROACH,"{""A"": ""EXIT"", ""B"": ""METHOD"", ""C"": ""TOOL""}",B,1.088963583410062,0.27041263154467626,0.3091227893195073
INSIST,"{""A"": ""OFFER"", ""B"": ""REFUSE"", ""C"": ""DEMAND""}",C,1.1542990140640643,0.27908081317382366,0.2975396578624809
POTENTIAL,"{""A"": ""CERTAIN"", ""B"": ""POSSIBLE"", ""C"": ""UNLIKELY""}",B,1.1874534144422826,0.9618271913460438,0.30734618265745334
FIRM,"{""A"": ""HARD"", ""B"": ""SOFT"", ""C"": ""STURDY""}",C,1.17251326381518,1.0107663635514077,0.30585117078039087
INVEST,"{""A"": ""TAKE"", ""B"": ""SPEND"", ""C"": ""DEVOTE""}",C,1.2707141872469687,1.3470908222274551,0.30219052823931364
BOYCOTT,"{""A"": ""IGNORE"", ""B"": ""PROTEST"", ""C"": ""SUPPORT""}",B,1.3437874526646831,1.4734574089321582,0.28379473898837404
ACHIEVE,"{""A"": ""LOSE"", ""B"": ""DECIDE"", ""C"": ""ACCOMPLISH""}",C,1.2507182749622974,0.30951716904090965,0.30626784856683564
LACK,"{""A"": ""ABSENCE"", ""B"": ""SURPLUS"", ""C"": ""AMOUNT""}",A,1.1705550092959744,0.24077170864279512,0.3061304725104962
ORIGINALLY,"{""A"": ""AT FIRST"", ""B"": ""AT LAST"", ""C"": ""LATER""}",A,0.8674010615588217,0.30949959320184073,0.30224199669588836
FEE,"{""A"": ""CHARGE"", ""B"": ""GIFT"", ""C"": ""COIN""}",A,1.2846301262218551,0.32246209752041616,0.30530364459705517
IMPORT,"{""A"": ""SHIPMENT"", ""B"": ""EXPORT"", ""C"": ""CONSTRUCTION""}",A,1.2843710504549983,0.8524888160294657,0.29898640438633645
CHARACTERISTIC,"{""A"": ""WHOLE"", ""B"": ""ATTRIBUTE"", ""C"": ""PATTERN""}",B,1.055711129993735,1.2219926648762347,0.3063451757267469
ECONOMIC,"{""A"": ""RISKY"", ""B"": ""EDUCATIONAL"", ""C"": ""COMMERCIAL""}",C,0.8212630192460281,0.8849090542273301,0.2974675567846311
ASSIST,"{""A"": ""HELP"", ""B"": ""WATCH"", ""C"": ""ASK""}",A,1.1927540633631846,0.4000994602061951,0.30320455067100205
SECURE,"{""A"": ""TIGHT"", ""B"": ""DANGEROUS"", ""C"": ""SAFE""}",C,1.1482234771242514,0.3020038762001615,0.30465743265199957
REVEAL,"{""A"": ""HIDE"", ""B"": ""SHOW"", ""C"": ""STEAL""}",B,1.1693011189379707,0.5822262259383942,0.3061632500169264
MAINTAIN,"{""A"": ""LOSE"", ""B"": ""BREAK"", ""C"": ""KEEP""}",C,1.1971545451952885,0.7004561416595051,0.3077437566633139
COMMIT,"{""A"": ""PROMISE"", ""B"": ""FORGET"", ""C"": ""RESCUE""}",A,1.18404939124577,0.7518320251607684,0.3034316108841083
SEIZE,"{""A"": ""RELEASE"", ""B"": ""CATCH"", ""C"": ""DEMAND""}",B,1.1192171184761919,0.8250837529248078,0.2952934868545173
FLEET,"{""A"": ""HURRIED"", ""B"": ""BUSY"", ""C"": ""SPEEDY""}",C,1.2117671632312805,0.971604917102878,0.2961563919905157
OCCUPATION,"{""A"": ""ACTIVITY"", ""B"": ""ROLE"", ""C"": ""RECREATION""}",A,0.963612027526399,1.0267758632274964,0.29203281029494765
ADVISE,"{""A"": ""IGNORE"", ""B"": ""ARGUE"", ""C"": "" SUGGEST""}",C,1.191429295999468,0.46739475393577423,0.2999917828888752
BID,"{""A"": ""OFFER"", ""B"": ""SHOUT"", ""C"": ""CHOOSE""}",A,1.1400984721239953,0.7282235559656327,0.29879481262077406
IMMEDIATE,"{""A"": ""SLOW"", ""B"": ""INSTANT"", ""C"": ""FINAL""}",B,0.940212375884062,0.43910270258839545,0.29846079986936286
